Porb_hours,Porb_minutes,Mdot_solarmass_per_year
1.4917559117752,89.505354706512,1.69266661503788E-11
1.46583644338392,87.9501866030352,1.93069772888325E-11
1.44957721505671,86.9746329034026,2.10770353447348E-11
1.42666210023287,85.5997260139722,2.40409918350997E-11
1.40859110114806,84.5154660688836,2.68269579527973E-11
1.39074900069865,83.444940041919,2.99357729472049E-11
1.37532265101941,82.5193590611646,3.4145488738336E-11
1.36440870264007,81.8645221584042,3.89471954920306E-11
1.36440870264007,81.8645221584042,4.44241418923201E-11
1.37751589455121,82.6509536730726,4.95721888185329E-11
1.39964162067105,83.978497240263,5.29431190988873E-11
1.4198584659309,85.191507955854,5.53168119761724E-11
1.44266430045548,86.5598580273288,5.77969288415333E-11
1.46350257826422,87.8101546958532,5.90783791158796E-11
1.4917559117752,89.505354706512,6.03882411906197E-11
1.5205546839252,91.233281035512,6.17271450007717E-11
1.54990942456226,92.9945654737356,6.30957344480194E-11
1.57983086681616,94.7898520089696,6.44946677103763E-11
1.61547007124827,96.9282042748962,6.59246175587141E-11
1.64665718043268,98.7994308259608,6.73862716803096E-11
1.68380391120982,101.028234672589,6.88803330095658E-11
1.71631022460964,102.978613476578,6.88803330095658E-11
1.74665866410791,104.799519846475,7.04075200660646E-11
1.78321759719355,106.993055831613,7.19685673001153E-11
1.82344497711643,109.406698626986,7.35642254459642E-11
1.87053151891906,112.231891135144,7.51952618828356E-11
1.90360695704065,114.216417422439,7.68624610039775E-11
1.94035663075484,116.42139784529,7.85666245938895E-11
1.97466674262692,118.480004557615,8.03085722139152E-11
2.01599806327565,120.959883796539,8.20891415963826E-11
2.0713548291908,124.281289751448,8.39091890474843E-11
2.12823162212801,127.693897327681,8.57695898590895E-11
2.18318862302391,130.991317381435,8.76712387296869E-11
