Psc_days,Porb_minutes
85,140.832
90,113.04
100,103.1184
110,107.73072
115,114.48
115,124.416
120,92.7648
125,86.4
125,124.992
140,109.944
145,120.96
146,123.408
150,168.768
160,98.3952
160,98.496
160,110.16
170,86.256
175,106.95024
180,128.88
193,108.4464
200,93.744
200,106.128
200,107.27856
200,110.736
211,86.82624
220,121.104
227,89.89632
230,94.18896
240,98.208
240,105.552
240,107.3808
240,108.864
250,110.16
254,97.92
260,98.3232
260,104.7312
270,90.89424
270,97.632
280,93.456
280,96.768
280,105.8688
280,112.032
280,112.6944
280,116.496
280,116.72064
286,106.42896
290,110.304
300,78.68592
300,84.6144
300,86.688
300,86.904
300,87.7536
300,94.752
300,110.88
307,128.16
320,100.1808
320,102.672
320,132.768
330,90.00144
330,96.48
340,89.424
340,90.576
340,113.04
350,81.63936
350,87.264
350,102.096
353,81.8136
370,91.584
370,98.784
370,109.584
375,98.64
380,96.912
396,88.06896
400,103.248
400,106.05168
400,118.2096
420,142.6176
430,117.792
450,105.84
475,106.128
480,93.456
485,90.5472
500,80.928
500,113.328
500,135.216
550,84.57984
600,98.64
600,123.62832
650,85.392
650,144.11808
740,90.288
760,109.3824
800,76.032
1000,79.70544
1430,136.8
1500,88.776
