Phase,Radial _velocity,Radial_velocity_error
0.659895410601166,-45.5806534744585,23.4140932074164
0.816582562270924,-26.4836476293085,21.4898259793531
0.969517320336308,24.6819208269903,28.0386322715335
1.12274128089484,-1.23771170511951,30.6837939982367
1.31809481707751,-20.9947181581902,26.8484057992251
1.473627242769,-54.9298955930451,26.5945082558682
1.62713929706661,-69.1300175749415,22.7332498489307
1.78757722856244,-35.2283511400305,20.5942153210462
1.94094592388137,47.3932793195525,24.2230067495243
2.0992192542617,23.3290536111488,30.6276421835571
2.28577239699371,39.965358024672,32.496893778505
2.47694033954758,-43.2997420428317,39.9004526557204
2.6307407314016,-117.310551991693,30.9933834321467
